"1","LIBERTADOR","1"
"2","AUTONOMO ALTO ORINOCO","2"
"3","AUTONOMO ATABAPO","2"
"4","AUTONOMO ATURES","2"
"5","AUTONOMO AUTANA","2"
"6","AUTONOMO MAROA","2"
"7","AUTONOMO MANAPIARE","2"
"8","AUTONOMO RIO NEGRO","2"
"9","ANACO","3"
"10","ARAGUA","3"
"11","FERNANDO DE PE&#209","0"
"12","FRANCISCO DEL CARMEN CARVAJAL","3"
"13","FRANCISCO DE MIRANDA","3"
"14","GUANTA","3"
"15","INDEPENDENCIA","3"
"16","JUAN ANTONIO SOTILLO","3"
"17","JUAN MANUEL CAJIGAL","3"
"18","JOSE GREGORIO MONAGAS","3"
"19","LIBERTAD","3"
"20","MANUEL EZEQUIEL BRUZUAL","3"
"21","PEDRO MARIA FREITES","3"
"22","PIRITU","3"
"23","SAN JOSE DE GUANIPA","3"
"24","SAN JUAN DE CAPISTRANO","3"
"25","SANTA ANA","3"
"26","SIMON BOLIVAR","3"
"27","SIMON RODRIGUEZ","3"
"28","SIR ARTHUR MC GREGOR","3"
"29","TURIST DIEGO BAUTISTA URBANEJA","3"
"30","ACHAGUAS","4"
"31","BIRUACA","4"
"32","MU&Ntilde","0"
"33","PAEZ","4"
"34","PEDRO CAMEJO","4"
"35","ROMULO GALLEGOS","4"
"36","SAN FERNANDO","4"
"37","BOLIVAR","5"
"38","JOSE GREGORIO MONAGAS","5"
"39","GIRARDOT","5"
"40","JOSE ANGEL LAMAS","5"
"41","JOSE FELIX RIBAS","5"
"42","JOSE RAFAEL REVENGA","5"
"43","LIBERTADOR","5"
"44","MARIO BRICE&Ntilde","0"
"45","SAN CASIMIRO","5"
"46","SAN SEBASTIAN","5"
"47","SANTIAGO MARI&Ntilde","0"
"48","SANTOS MICHELENA","5"
"49","SUCRE","5"
"50","TOVAR","5"
"51","URDANETA","5"
"52","ZAMORA","5"
"53","FRANCISCO LINARES ALCANTARA","5"
"54","OCUMARE DE LA COSTA DE ORO","5"
"55","ALBERTO ARVELO TORREALBA","6"
"56","ANTONIO JOSE DE SUCRE","6"
"57","ARISMENDI","6"
"58","BARINAS","6"
"59","BOLIVAR","6"
"60","CRUZ PAREDES","6"
"61","EZEQUIEL ZAMORA","6"
"62","OBISPOS","6"
"63","PEDRAZA","6"
"64","ROJAS","6"
"65","SOSA","6"
"66","ANDRES ELOY BLANCO","6"
"67","CARONI","15"
"68","CEDE&#209","0"
"69","EL CALLAO","15"
"70","GRAN SABANA","15"
"71","HERES","15"
"72","PIAR","15"
"73","RAUL LEONI","15"
"74","ROSCIO","15"
"75","SIFONTES","15"
"76","SUCRE","15"
"77","PADRE PEDRO CHIEN","15"
"78","BEJUMA","8"
"79","BOLIVAR","8"
"80","DIEGO IBARRA","8"
"81","GUACARA","8"
"82","JUAN JOSE MORA","8"
"83","LIBERTADOR","8"
"84","LOS GUAYOS","8"
"85","MIRANDA","8"
"86","MONTALBAN","8"
"87","NAGUANAGUA","8"
"88","PUERTO CABELLO","8"
"89","SAN DIEGO","8"
"90","SAN JOAQUIN","8"
"91","VALENCIA","8"
"92","ANZOATEGUI","9"
"93","RAUL LEONI","9"
"94","GIRARDOT","9"
"95","LIMA BLANCO","9"
"96","PAO DE SAN JUAN BAUTISTA","9"
"97","RICAURTE","9"
"98","ROMULO GALLEGOS","9"
"99","SAN CARLOS","9"
"100","TINACO","9"
"101","ANTONIO DIAZ","10"
"102","CASACOIMA","10"
"103","PEDERNALES","10"
"104","TUCUPITA","10"
"105","ACOSTA","11"
"106","BOLIVAR","11"
"107","BUCHIVACOA","11"
"108","CACIQUE MANAURE","11"
"109","CARIRUBANA","11"
"110","COLINA","11"
"111","DABAJURO","11"
"112","DEMOCRACIA","11"
"113","FALCON","11"
"114","FEDERACION","11"
"115","JACURA","11"
"116","LOS TAQUES","11"
"117","MAUROA","11"
"118","ROMULO GALLEGOS","11"
"119","MONSE&#209","0"
"120","PALMASOLA","11"
"121","PETIT","11"
"122","PIRITU","11"
"123","SAN FRANCISCO","11"
"124","SILVA","11"
"125","SUCRE","11"
"126","TOCOPERO","11"
"127","UNION","11"
"128","URUMACO","11"
"129","ZAMORA","11"
"130","CAMAGUAN","12"
"131","CHAGUARAMAS","12"
"132","EL SOCORRO","12"
"133","SAN GERONIMO DE GUAYABAL","12"
"134","FEDERACION","12"
"135","LAS MERCEDES","12"
"136","JULIAN MELLADO","12"
"137","FRANCISCO DE MIRANDA","12"
"138","JOSE TADEO MONAGAS","12"
"139","ORTIZ","12"
"140","JOSE FELIX RIBAS","12"
"141","JUAN GERMAN ROSCIO","12"
"142","SAN JOSE DE GUARIBE","12"
"143","SANTA MARIA DE IPIRE","12"
"144","PEDRO ZARAZA","12"
"145","ANDRES ELOY BLANCO","13"
"146","CRESPO","13"
"147","IRIBARREN","13"
"148","JIMENEZ","13"
"149","MORAN","13"
"150","PALAVECINO","13"
"151","SIMON PLANAS","13"
"152","TORRES","13"
"153","URDANETA","13"
"154","ALBERTO ADRIANI","14"
"155","ANDRES BELLO","14"
"156","ANTONIO PINTO SALINAS","14"
"157","ARICAGUA","14"
"158","ARZOBISPO CHACON","14"
"159","CAMPO ELIAS","14"
"160","JOSE FELIX RIBAS","14"
"161","CARDENAL QUINTERO","14"
"162","GUARAQUE","14"
"163","JULIO CESAR SALAS","14"
"164","JUSTO BRICE&#209","0"
"165","LIBERTADOR","14"
"166","MIRANDA","14"
"167","OBISPO RAMOS DE LORA","14"
"168","PADRE NOGUERA","14"
"169","PUEBLO LLANO","14"
"170","RANGEL","14"
"171","RIVAS DAVILA","14"
"172","SANTOS MARQUINA","14"
"173","SUCRE","14"
"174","TOVAR","14"
"175","TULIO FEBRES CORDERO","14"
"176","ZEA","14"
"177","ACEVEDO","7"
"178","ANDRES BELLO","7"
"179","CAMPO ELIAS","3"
"180","BRION","7"
"181","BUROZ","7"
"182","CARRIZAL","7"
"183","CHACAO","7"
"184","CRISTOBAL ROJAS","7"
"185","EL HATILLO","7"
"186","GUAICAIPURO","7"
"187","INDEPENDENCIA","7"
"188","TOMAS LANDER","7"
"189","LOS SALIAS","7"
"190","PAEZ","7"
"191","PAZ CASTILLO","7"
"192","PEDRO GUAL","7"
"193","PLAZA","7"
"194","SIMON BOLIVAR","7"
"195","SUCRE","7"
"196","URDANETA","7"
"197","ZAMORA","7"
"198","ACOSTA","16"
"199","AGUASAY","16"
"200","BRION","16"
"201","CARIPE","16"
"202","CEDE&#209","0"
"203","EZEQUIEL ZAMORA","16"
"204","LIBERTADOR","16"
"205","MATURIN","16"
"206","PIAR","16"
"207","PUNCERES","16"
"208","SANTA BARBARA","16"
"209","SOTILLO","16"
"210","URACOA","16"
"211","ANTOLIN DEL CAMPO","17"
"212","ARISMENDI","17"
"213","DIAZ","17"
"214","SIMON BOLIVAR","17"
"215","GOMEZ","17"
"216","MANEIRO","17"
"217","MARCANO","17"
"218","MARI&#209","0"
"219","PENINSULA DE MACANAO","17"
"220","TUBORES","17"
"221","VILLALBA","17"
"222","AGUA BLANCA","18"
"223","ARAURE","18"
"224","ESTELLER","18"
"225","GUANARE","18"
"226","GUANARITO","18"
"227","MONSE&#209","0"
"228","OSPINO","18"
"229","PAEZ","18"
"230","PAPELON","18"
"231","SAN GENARO DE BOCONOITO","18"
"232","SAN RAFAEL DE ONOTO","18"
"233","SANTA ROSALIA","18"
"234","SUCRE","18"
"235","TUREN","18"
"236","ANDRES ELOY BLANCO","19"
"237","ANDRES MATA","19"
"238","ARISMENDI","19"
"239","PENINSULA DE MACANAO","19"
"240","BERMUDEZ","19"
"241","BOLIVAR","19"
"242","CAJIGAL","19"
"243","CRUZ SALMERON ACOSTA","19"
"244","LIBERTADOR","19"
"245","MARI&#209","0"
"246","MEJIA","19"
"247","MONTES","19"
"248","RIBERO","19"
"249","SUCRE","19"
"250","VALDEZ","19"
"251","ANDRES BELLO","20"
"252","ANTONIO ROMULO COSTA","20"
"253","AYACUCHO","20"
"254","BOLIVAR","20"
"255","CARDENAS","20"
"256","CORDOBA","20"
"257","FERNANDEZ FEO","20"
"258","FRANCISCO DE MIRANDA","20"
"259","GARCIA DE HEVIA","20"
"260","BERMUDEZ","20"
"261","INDEPENDENCIA","20"
"262","JAUREGUI","20"
"263","JOSE MARIA VARGAS","20"
"264","JUNIN","20"
"265","LIBERTAD","20"
"266","LIBERTADOR","20"
"267","LOBATERA","20"
"268","MICHELENA","20"
"269","PANAMERICANO","20"
"270","PEDRO MARIA URE&#209","0"
"271","RAFAEL URDANETA","20"
"272","SAMUEL DARIO MALDONADO","20"
"273","SAN CRISTOBAL","20"
"274","SEBORUCO","20"
"275","SIMON RODRIGUEZ","20"
"276","SUCRE","20"
"277","TORBES","20"
"278","URIBANTE","20"
"279","GUASIMO","20"
"280","ANDRES BELLO","21"
"281","BOCONO","21"
"282","BOLIVAR","21"
"283","CANDELARIA","21"
"284","CARACHE","21"
"285","ESCUQUE","21"
"286","JOSE FELIPE MARQUEZ CA&#209","0"
"287","JUAN VICENTE CAMPO ELIAS","21"
"288","LA CEIBA","21"
"289","MIRANDA","21"
"290","MONTE CARMELO","21"
"291","MOTATAN","21"
"292","PAMPAN","21"
"293","PAMPANITO","21"
"294","RAFAEL RANGEL","21"
"295","SAN RAFAEL DE CARVAJAL","21"
"296","SUCRE","21"
"297","TRUJILLO","21"
"298","URDANETA","21"
"299","VALERA","21"
"300","ANDRES BELLO","22"
"301","BOLIVAR","22"
"302","BRUZUAL","22"
"303","COCOROTE","22"
"304","INDEPENDENCIA","22"
"305","JOSE ANTONIO PAEZ","22"
"306","LA TRINIDAD","22"
"307","MANUEL MONGE","22"
"308","NIRGUA","22"
"309","PE&#209","0"
"310","SAN FELIPE","22"
"311","SUCRE","22"
"312","PAMPAN","22"
"313","VEROES","22"
"314","ALMIRANTE PADILLA","23"
"315","BARALT","23"
"316","CABIMAS","23"
"317","CATATUMBO","23"
"318","COLON","23"
"319","FRANCISCO JAVIER PULGAR","23"
"320","JESUS ENRIQUE LOZADA","23"
"321","JESUS MARIA SEMPRUN","23"
"322","LA CA&#209","0"
"323","LAGUNILLAS","23"
"324","MACHIQUES DE PERIJA","23"
"325","MARA","23"
"326","MARACAIBO","23"
"327","MIRANDA","23"
"328","PAEZ","23"
"329","ROSARIO DE PERIJA","23"
"330","SAN FRANCISCO","23"
"331","SANTA RITA","23"
"332","SIMON BOLIVAR","23"
"333","SUCRE","23"
"334","VALMORE RODRIGUEZ","23"
"335","VARGAS","24"
"336","DEPENDENCIAS FEDERALES","25"
"337","BARUTA","7"
"338","CARACILO PARRA Y OLMEDO","14"
"339","LEONARDO INFANTE","12"
